original_text,tokens,labels
ዋጋ፦ ብር ውስን ፍሬ ነው ያለን  አድራሻ መገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ  ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"['ዋጋ፦', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለን', 'አድራሻ', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'በ', 'ለማዘዝ', 'ይጠቀሙ', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን']","['B-PRICE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
ዋጋ፦ ብር ውስን ፍሬ ነው ያለን  አድራሻ መገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ  ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"['ዋጋ፦', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለን', 'አድራሻ', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'በ', 'ለማዘዝ', 'ይጠቀሙ', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን']","['B-PRICE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
ለአጭር መልእክት  አድራሻ  መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ  ቴሌግራም ቻናላችንን ይቀላቀሉ,"['ለአጭር', 'መልእክት', 'አድራሻ', 'መገናኛ', 'ማራቶን', 'የ', 'ገበያ', 'ማእከል', 'በ', 'ዋናው', 'መግቢያ', 'መሬት', 'ላይ', 'ወይንም', 'ግራውንድ', 'ፍሎር', 'ብቅ', 'ይበሉ', 'ነቫ', 'ኮምፒውተር', 'መሆኑን', 'ያረጋግጡ', 'ድህረ', 'ገጻችንን', 'ይጎብኙ', 'ቴሌግራም', 'ቻናላችንን', 'ይቀላቀሉ']","['O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
ለአጭር መልእክት ይደዉሉ   አድራሻ  መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ  ቴሌግራም ቻናላችንን ይቀላቀሉ,"['ለአጭር', 'መልእክት', 'ይደዉሉ', 'አድራሻ', 'መገናኛ', 'ማራቶን', 'የ', 'ገበያ', 'ማእከል', 'በ', 'ዋናው', 'መግቢያ', 'መሬት', 'ላይ', 'ወይንም', 'ግራውንድ', 'ፍሎር', 'ብቅ', 'ይበሉ', 'ነቫ', 'ኮምፒውተር', 'መሆኑን', 'ያረጋግጡ', 'ድህረ', 'ገጻችንን', 'ይጎብኙ', 'ቴሌግራም', 'ቻናላችንን', 'ይቀላቀሉ']","['O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
ለአጭር መልእክት ይደዉሉ አድራሻ  መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ  ቴሌግራም ቻናላችንን ይቀላቀሉ,"['ለአጭር', 'መልእክት', 'ይደዉሉ', 'አድራሻ', 'መገናኛ', 'ማራቶን', 'የ', 'ገበያ', 'ማእከል', 'በ', 'ዋናው', 'መግቢያ', 'መሬት', 'ላይ', 'ወይንም', 'ግራውንድ', 'ፍሎር', 'ብቅ', 'ይበሉ', 'ነቫ', 'ኮምፒውተር', 'መሆኑን', 'ያረጋግጡ', 'ድህረ', 'ገጻችንን', 'ይጎብኙ', 'ቴሌግራም', 'ቻናላችንን', 'ይቀላቀሉ']","['O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
ለአጭር መልእክት ይደዉሉ አድራሻ  መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ  ቴሌግራም ቻናላችንን ይቀላቀሉ,"['ለአጭር', 'መልእክት', 'ይደዉሉ', 'አድራሻ', 'መገናኛ', 'ማራቶን', 'የ', 'ገበያ', 'ማእከል', 'በ', 'ዋናው', 'መግቢያ', 'መሬት', 'ላይ', 'ወይንም', 'ግራውንድ', 'ፍሎር', 'ብቅ', 'ይበሉ', 'ነቫ', 'ኮምፒውተር', 'መሆኑን', 'ያረጋግጡ', 'ድህረ', 'ገጻችንን', 'ይጎብኙ', 'ቴሌግራም', 'ቻናላችንን', 'ይቀላቀሉ']","['O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
አድራሻ  መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ,"['አድራሻ', 'መገናኛ', 'ማራቶን', 'የ', 'ገበያ', 'ማእከል', 'በ', 'ዋናው', 'መግቢያ', 'መሬት', 'ላይ', 'ወይንም', 'ግራውንድ', 'ፍሎር', 'ብቅ', 'ይበሉ', 'ነቫ', 'ኮምፒውተር', 'መሆኑን', 'ያረጋግጡ']","['B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
ለአጭር መልእክት ይደዉሉ   አድራሻ  መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ ወይንም ግራውንድ ፍሎር ብቅ ይበሉ ነቫ ኮምፒውተር መሆኑን ያረጋግጡ ድህረ ገጻችንን ይጎብኙ  ቴሌግራም ቻናላችንን ይቀላቀሉ,"['ለአጭር', 'መልእክት', 'ይደዉሉ', 'አድራሻ', 'መገናኛ', 'ማራቶን', 'የ', 'ገበያ', 'ማእከል', 'በ', 'ዋናው', 'መግቢያ', 'መሬት', 'ላይ', 'ወይንም', 'ግራውንድ', 'ፍሎር', 'ብቅ', 'ይበሉ', 'ነቫ', 'ኮምፒውተር', 'መሆኑን', 'ያረጋግጡ', 'ድህረ', 'ገጻችንን', 'ይጎብኙ', 'ቴሌግራም', 'ቻናላችንን', 'ይቀላቀሉ']","['O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
ለመላዉ የክርስትና እምነት ተከታይ በሙሉ እንኳንለብርሃነ ትንሳኤዉ በሰላም አደረሳችሁመጪዉ ዘመን የሰላም የአንድነት የመተሳሰብና የበረከት እንዲሆንልን እንመኛለን,"['ለመላዉ', 'የክርስትና', 'እምነት', 'ተከታይ', 'በሙሉ', 'እንኳንለብርሃነ', 'ትንሳኤዉ', 'በሰላም', 'አደረሳችሁመጪዉ', 'ዘመን', 'የሰላም', 'የአንድነት', 'የመተሳሰብና', 'የበረከት', 'እንዲሆንልን', 'እንመኛለን']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
እስከዛ በ የልጆች ፖፖ ተነጥሎ ወጥቶ ሲንክ ላይ የሚቀመጥ ለልጆች ምቹ የሆነ ልዩ ዲዛይን የልጆዎን ደህንነት የሚጠብቅ ማይቀዘቅዝ እና የማይቆረቁር በጣም ጠንካራ ለማፅዳት አመቺ እና በቀላሉ የሚነቃቀል የተረጋገጠ የ አንድ ዓመት ዋስትና እንሰጣለን ይዘዙን ያሉበት ድረስ እናመጣለን በሚሊኒየም እና ኤግዚቢሽን ባዛር ያገኙናል የልጅ ልጅ ደስታ,"['እስከዛ', 'በ', 'የልጆች', 'ፖፖ', 'ተነጥሎ', 'ወጥቶ', 'ሲንክ', 'ላይ', 'የሚቀመጥ', 'ለልጆች', 'ምቹ', 'የሆነ', 'ልዩ', 'ዲዛይን', 'የልጆዎን', 'ደህንነት', 'የሚጠብቅ', 'ማይቀዘቅዝ', 'እና', 'የማይቆረቁር', 'በጣም', 'ጠንካራ', 'ለማፅዳት', 'አመቺ', 'እና', 'በቀላሉ', 'የሚነቃቀል', 'የተረጋገጠ', 'የ', 'አንድ', 'ዓመት', 'ዋስትና', 'እንሰጣለን', 'ይዘዙን', 'ያሉበት', 'ድረስ', 'እናመጣለን', 'በሚሊኒየም', 'እና', 'ኤግዚቢሽን', 'ባዛር', 'ያገኙናል', 'የልጅ', 'ልጅ', 'ደስታ']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
ለውድ ልጆዎ ስጦታ ከመነሻዬ ምንም አይነት ባትሪና ኤሌክትሪክ የማይፈልጉ የልጆች መኪና በተለያየ አይነት አማራጭ ለልጆችዎ የቀረቡ ማኗል ተሽከርካሪዎች ከመነሻዬ ልጆች በእግራቸው እንቅስቃሴን እንዲያደርጉ የሚያግዙ በ ፣ በፌራሪና በፖርሽ ካምፓኒዎች እውቅና የተሰጣቸው የልጆችን የአካል ጥንካሬ የሚያዳብሩ በጥራት የተመረቱና ለረዥም ጊዜ የሚያገለግሉ አድራሻ፦ ጉርድ ሾላ ሆሊ ሲቲ ሴንተር ኛ ፎቅ ይምጡ በመነሻዬ የልጅዎን መነሻ ያቅልሉ ይደውሉ ወይም ልጆች,"['ለውድ', 'ልጆዎ', 'ስጦታ', 'ከመነሻዬ', 'ምንም', 'አይነት', 'ባትሪና', 'ኤሌክትሪክ', 'የማይፈልጉ', 'የልጆች', 'መኪና', 'በተለያየ', 'አይነት', 'አማራጭ', 'ለልጆችዎ', 'የቀረቡ', 'ማኗል', 'ተሽከርካሪዎች', 'ከመነሻዬ', 'ልጆች', 'በእግራቸው', 'እንቅስቃሴን', 'እንዲያደርጉ', 'የሚያግዙ', 'በ', '፣', 'በፌራሪና', 'በፖርሽ', 'ካምፓኒዎች', 'እውቅና', 'የተሰጣቸው', 'የልጆችን', 'የአካል', 'ጥንካሬ', 'የሚያዳብሩ', 'በጥራት', 'የተመረቱና', 'ለረዥም', 'ጊዜ', 'የሚያገለግሉ', 'አድራሻ፦', 'ጉርድ', 'ሾላ', 'ሆሊ', 'ሲቲ', 'ሴንተር', 'ኛ', 'ፎቅ', 'ይምጡ', 'በመነሻዬ', 'የልጅዎን', 'መነሻ', 'ያቅልሉ', 'ይደውሉ', 'ወይም', 'ልጆች']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
